,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,baseline,attention
240,7,0.35723358392715454,16,0.493682861328125,0.4093564922610919,-0.0982438325881958,-0.04018247127532959
241,18,0.25328806042671204,109,0.5833486020565033,0.5864547165110707,0.6549050807952881,0.6474514603614807
242,12,0.20293202996253967,95,0.8124883621931076,0.65818952023983,0.6295265555381775,0.6198261976242065
243,24,0.1298704594373703,56,1.4072360055787223,0.5995931572773877,0.5045579671859741,0.6064698696136475
244,6,0.2795930802822113,78,0.4960564598441124,0.8029498606920242,0.10414111614227295,0.08313709497451782
245,18,0.16526319086551666,49,1.0883579750855763,0.4679953766365846,0.008939623832702637,0.1554756760597229
246,23,0.133315309882164,41,1.3329429361555312,0.4692363643220493,0.48591458797454834,0.7274509072303772
247,22,0.17282690107822418,26,0.5526967421174049,0.43717419852813083,0.5231733322143555,0.5288732051849365
248,8,0.24539105594158173,188,1.083730861544609,1.0726064145565033,0.6181306838989258,0.6188569068908691
249,17,0.31921935081481934,183,0.6271950602531433,0.5576008677482605,0.8143548369407654,0.8073709607124329
250,25,0.13873054087162018,129,1.082119100860187,0.6554485857486725,0.28168684244155884,0.30272382497787476
251,9,0.11545923352241516,22,0.963247686624527,0.4177685429652532,0.7406857013702393,0.7722802758216858
252,20,0.19515956938266754,168,1.8590360879898071,0.5431624289069857,0.7243788242340088,0.751309871673584
253,20,0.3743536174297333,160,1.4325076540311177,0.5134038285297506,0.9085914492607117,0.9151014089584351
254,13,0.24090135097503662,100,1.3943692644437153,0.7278693382229123,0.39324092864990234,0.4145019054412842
255,21,0.15992210805416107,177,1.058214823404948,0.777219033241272,0.0007828474044799805,0.011647582054138184
256,3,0.1660166084766388,28,1.4992367923259735,0.816819965839386,0.43620795011520386,0.4367806911468506
257,15,0.29064565896987915,43,0.9286949634552002,0.5564507159094015,0.4292415380477905,0.43049877882003784
258,23,0.18952348828315735,15,0.7707047283649444,0.7346431778536903,0.23510229587554932,0.4608004689216614
259,3,0.20646636188030243,68,1.3118489980697632,0.4668020009994507,0.8324424028396606,0.8326202630996704
260,8,0.10649038851261139,46,0.9474627545901707,0.370186448097229,0.3213357925415039,0.32838767766952515
261,7,0.3012886643409729,131,0.8424306511878967,0.3068685919046402,0.8030321598052979,0.8080464601516724
262,10,0.39442890882492065,185,0.773006538550059,0.5595492805753436,0.5360335111618042,0.5962865352630615
263,12,0.31575870513916016,9,1.5116687218348186,0.41060475177235073,0.3867540955543518,0.6730580925941467
264,16,0.1305428296327591,200,0.8060064036399126,0.5110482014715672,0.061205387115478516,0.09349417686462402
265,11,0.37848928570747375,194,1.287668228149414,0.630453497171402,0.4745461940765381,0.5112546682357788
266,23,0.24970941245555878,124,0.934432864189148,0.5641137149773146,0.7134460210800171,0.7836148142814636
267,10,0.1223764717578888,82,1.2902194346700395,0.5678908427556356,-0.04869210720062256,-0.02660655975341797
268,21,0.1860087811946869,179,1.6915381054083507,0.5399587174256643,0.94212406873703,0.9400733709335327
269,6,0.11227981746196747,88,0.8009479284286499,0.3114766478538513,-0.013527750968933105,-0.014837503433227539
