run_id,num_train_samples,y,baseline_beta,baseline_nll_beta
69a18ce4,20,-4.2942944,8.978567e-06,2.4698347e-05
69a18ce4,20,-4.2742743,9.118185e-06,2.5178273e-05
69a18ce4,20,-4.2542543,9.5897185e-06,3.1324413e-05
69a18ce4,20,-4.2342343,9.722432e-06,2.8371129e-05
69a18ce4,20,-4.2142143,9.879456e-06,2.8319819e-05
69a18ce4,20,-4.1941943,1.0386178e-05,3.505004e-05
69a18ce4,20,-4.1741743,1.0646603e-05,3.5809237e-05
69a18ce4,20,-4.1541543,1.1040708e-05,4.035551e-05
69a18ce4,20,-4.1341343,1.1864759e-05,2.9314744e-05
69a18ce4,20,-4.1141143,1.2134428e-05,4.2033826e-05
69a18ce4,20,-4.0940943,1.3197473e-05,2.6023241e-05
69a18ce4,20,-4.0740743,1.3226027e-05,4.342391e-05
69a18ce4,20,-4.0540543,1.377334e-05,4.133222e-05
69a18ce4,20,-4.0340343,1.4957179e-05,4.404334e-05
69a18ce4,20,-4.0140142,1.4396859e-05,4.3067084e-05
69a18ce4,20,-3.9939942,1.5981193e-05,4.555337e-05
69a18ce4,20,-3.9739742,1.6490569e-05,4.0013823e-05
69a18ce4,20,-3.9539542,1.6687818e-05,4.8458212e-05
69a18ce4,20,-3.9339342,1.6976885e-05,4.6960948e-05
69a18ce4,20,-3.9139142,1.8362623e-05,4.896419e-05
69a18ce4,20,-3.8938942,1.82018e-05,4.7479e-05
69a18ce4,20,-3.8738742,1.9850035e-05,5.1298764e-05
69a18ce4,20,-3.8538542,2.0441701e-05,5.5464443e-05
69a18ce4,20,-3.8338342,2.0564574e-05,5.3394702e-05
69a18ce4,20,-3.8138142,2.2150058e-05,5.054094e-05
69a18ce4,20,-3.793794,2.334177e-05,5.6257235e-05
69a18ce4,20,-3.773774,2.3672026e-05,7.0466755e-05
69a18ce4,20,-3.753754,2.4304216e-05,5.9994818e-05
69a18ce4,20,-3.733734,2.6094069e-05,6.365546e-05
69a18ce4,20,-3.713714,2.734348e-05,6.974669e-05
69a18ce4,20,-3.6936939,2.6960102e-05,7.731956e-05
69a18ce4,20,-3.6736739,2.8972558e-05,7.178837e-05
69a18ce4,20,-3.6536539,3.151787e-05,7.837973e-05
69a18ce4,20,-3.6336339,3.0945186e-05,8.422867e-05
69a18ce4,20,-3.6136138,3.3374377e-05,9.067961e-05
69a18ce4,20,-3.5935938,3.3594268e-05,9.821837e-05
69a18ce4,20,-3.5735738,3.592588e-05,9.346463e-05
69a18ce4,20,-3.5535538,3.6709014e-05,0.00011229605
69a18ce4,20,-3.5335338,3.9447077e-05,8.9942194e-05
69a18ce4,20,-3.5135138,4.265181e-05,0.00010113765
69a18ce4,20,-3.4934938,4.2704316e-05,0.00010578757
69a18ce4,20,-3.4734738,4.538694e-05,0.000104491504
69a18ce4,20,-3.4534538,4.650032e-05,0.00012000959
69a18ce4,20,-3.4334338,4.9887938e-05,0.000114951625
69a18ce4,20,-3.4134138,5.1301995e-05,0.00013649672
69a18ce4,20,-3.3933938,5.2441508e-05,0.000117638585
69a18ce4,20,-3.3733735,5.5274344e-05,0.00013625117
69a18ce4,20,-3.3533535,5.8708076e-05,0.00015280233
69a18ce4,20,-3.3333335,6.164076e-05,0.0001450093
69a18ce4,20,-3.3133135,6.3304455e-05,0.00015792726
69a18ce4,20,-3.2932935,6.709559e-05,0.00016514403
69a18ce4,20,-3.2732735,7.2822135e-05,0.00016698524
69a18ce4,20,-3.2532535,7.522582e-05,0.00016928618
69a18ce4,20,-3.2332335,7.588049e-05,0.00019459685
69a18ce4,20,-3.2132134,7.983864e-05,0.00017779316
69a18ce4,20,-3.1931934,8.350357e-05,0.00020575726
69a18ce4,20,-3.1731734,8.5953194e-05,0.00020191692
69a18ce4,20,-3.1531534,9.361807e-05,0.00019921198
69a18ce4,20,-3.1331334,9.6179865e-05,0.00020024588
69a18ce4,20,-3.1131134,0.00010189765,0.00022071207
69a18ce4,20,-3.0930934,0.00010795535,0.0002493089
69a18ce4,20,-3.0730734,0.000110518384,0.00027471886
69a18ce4,20,-3.0530534,0.000117706586,0.00027374178
69a18ce4,20,-3.0330334,0.00012201275,0.0002656417
69a18ce4,20,-3.0130134,0.00012737073,0.00031175476
69a18ce4,20,-2.9929934,0.00013490982,0.00027785273
69a18ce4,20,-2.9729733,0.00014111056,0.00031373758
69a18ce4,20,-2.9529533,0.00014870371,0.00028180602
69a18ce4,20,-2.932933,0.00015486263,0.00036385914
69a18ce4,20,-2.912913,0.0001604424,0.00037091077
69a18ce4,20,-2.892893,0.00017080894,0.00035558734
69a18ce4,20,-2.872873,0.00017551113,0.00038747053
69a18ce4,20,-2.852853,0.00018734235,0.00038073974
69a18ce4,20,-2.832833,0.00019815128,0.00043195917
